38 Provinsi,
,Listrik yang Didistribusikan Menurut Provinsi (GWh) (GWh)
,2017
ACEH,2409.11
SUMATERA UTARA,9671.48
SUMATERA BARAT,3415.29
RIAU,4069.93
JAMBI,1176.09
SUMATERA SELATAN,5239.35
BENGKULU,852.84
LAMPUNG,3998.3
KEP. BANGKA BELITUNG,979.19
KEP. RIAU,2823.17
DKI JAKARTA,31643.13
JAWA BARAT,50791.2
JAWA TENGAH,21057.04
DI YOGYAKARTA,2724.49
JAWA TIMUR,34114.16
BANTEN,22557.53
BALI,5069.64
NUSA TENGGARA BARAT,1677.54
NUSA TENGGARA TIMUR,855.25
KALIMANTAN BARAT,2252.06
KALIMANTAN TENGAH,1134.95
KALIMANTAN SELATAN,2391.87
KALIMANTAN TIMUR,3418.33
KALIMANTAN UTARA,180.59
SULAWESI UTARA,1544.87
SULAWESI TENGAH,1068.79
SULAWESI SELATAN,5172.5
SULAWESI TENGGARA,850.7
GORONTALO,460.13
SULAWESI BARAT,312.89
MALUKU,463.05
MALUKU UTARA,237.12
PAPUA BARAT,533.47
PAPUA BARAT DAYA,-
PAPUA,868.01
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,226014.06
